time_range,rank,track_name,track_id,artist_names,album_name,album_release_date,duration_ms,explicit,isrc,spotify_url,album_image_url
short_term,49,Past Self,0Uvf2v96tJ5CuyK0LtyAgd,Sleep Token,Even In Arcadia,2025-05-09,214648,True,USRC12500015,https://open.spotify.com/track/0Uvf2v96tJ5CuyK0LtyAgd,https://i.scdn.co/image/ab67616d0000b273882265cd9bdded9ea9a153b9
short_term,50,WHAT DO YOU WANT FROM ME? (LIVE 2024),0waFOzA1yFtvympkVBT8Kr,Bad Omens,CONCRETE JUNGLE [THE OST],2024-05-31,224874,False,USYFZ2408321,https://open.spotify.com/track/0waFOzA1yFtvympkVBT8Kr,https://i.scdn.co/image/ab67616d0000b2737400362388ac9ab2a807e597
medium_term,1,So Far So Fake,3fWibgdtgIie6LKTZ2rUoI,Pierce The Veil,The Jaws Of Life,2023-02-10,236160,False,US5262224930,https://open.spotify.com/track/3fWibgdtgIie6LKTZ2rUoI,https://i.scdn.co/image/ab67616d0000b2732846907b5152fb7dc38e450a
medium_term,2,Body,0FlcmZ13DGRmscCroro9GO,Don Toliver,OCTANE,2026-01-30,155753,True,USAT22600118,https://open.spotify.com/track/0FlcmZ13DGRmscCroro9GO,https://i.scdn.co/image/ab67616d0000b27325c28f3c9fbdbab1a88dd619
medium_term,3,Caramel,1QrbZhFYlViXd60g130vw1,Sleep Token,Even In Arcadia,2025-05-09,290110,False,USRC12500017,https://open.spotify.com/track/1QrbZhFYlViXd60g130vw1,https://i.scdn.co/image/ab67616d0000b273882265cd9bdded9ea9a153b9
medium_term,4,Alkaline,0B4YX3OMtZSmPm9KpiZKl2,Sleep Token,This Place Will Become Your Tomb,2021-09-24,214106,False,GBUM72101269,https://open.spotify.com/track/0B4YX3OMtZSmPm9KpiZKl2,https://i.scdn.co/image/ab67616d0000b27336afd3d53b6dcc59f3563cf9
medium_term,5,Just Pretend,31rneVrsMC6jefCoDyQKam,Bad Omens,THE DEATH OF PEACE OF MIND,2022-02-25,204676,False,USYFZ2264208,https://open.spotify.com/track/31rneVrsMC6jefCoDyQKam,https://i.scdn.co/image/ab67616d0000b273bafcef0262b82dec233717e2
medium_term,6,Five Minutes to Midnight,7DYWvQ1RS986e59CXJJGxx,BOYS LIKE GIRLS,Boys Like Girls,2006,227360,False,USSM10603070,https://open.spotify.com/track/7DYWvQ1RS986e59CXJJGxx,https://i.scdn.co/image/ab67616d0000b2739d5d8ac73325fec119eecfb3
medium_term,7,The Great Escape,56Tl3UgyZTqfZtvFNS31wm,BOYS LIKE GIRLS,Boys Like Girls,2006,206520,False,USSM10603069,https://open.spotify.com/track/56Tl3UgyZTqfZtvFNS31wm,https://i.scdn.co/image/ab67616d0000b2739d5d8ac73325fec119eecfb3
medium_term,8,That's What You Get,1JdKrFyoU05abww0Zv0ayQ,Paramore,Riot!,2007-06-12,220480,False,USAT20702601,https://open.spotify.com/track/1JdKrFyoU05abww0Zv0ayQ,https://i.scdn.co/image/ab67616d0000b273bee754528c08d5ff6799a1eb
